27, 125, pa2-debug-f-output1.txt
  205.32,   204.03,   201.04
  405.50,   397.61,   197.29
   99.17,    97.89,    98.60
   98.92,   101.31,   224.39
   99.14,   105.62,   350.69
   98.42,   222.32,    95.42
   97.69,   225.42,   221.67
   98.56,   230.52,   347.26
   98.97,   348.34,    92.07
   98.22,   351.61,   217.76
   97.99,   355.43,   343.10
  223.31,    98.75,    98.99
  223.92,   101.93,   224.78
  224.86,   106.73,   350.85
  222.85,   223.40,    96.13
  223.02,   226.54,   222.06
  223.78,   231.68,   347.22
  224.05,   349.18,    92.98
  223.18,   352.30,   217.97
  223.11,   356.23,   342.30
  348.91,    99.71,    99.38
  349.60,   102.82,   224.70
  349.96,   106.19,   349.78
  348.04,   224.76,    96.28
  348.50,   228.16,   220.88
  348.82,   231.08,   345.41
  348.24,   349.41,    94.11
  348.15,   353.24,   218.05
  347.86,   356.90,   341.64
   98.51,   101.34,   223.90
   99.44,   104.15,   350.35
  100.01,   105.92,   475.76
   97.13,   225.68,   223.10
   98.37,   228.95,   348.97
   99.41,   231.31,   473.72
   97.22,   351.80,   220.97
   97.67,   354.07,   345.93
   98.14,   355.40,   471.34
  223.58,   102.23,   223.75
  225.04,   105.58,   349.93
  225.83,   108.03,   475.38
  222.33,   227.15,   222.71
  223.88,   230.19,   347.88
  224.70,   232.99,   473.27
  222.27,   352.98,   220.48
  222.30,   354.85,   344.74
  222.52,   356.42,   469.89
  349.08,   103.38,   223.02
  349.99,   105.45,   348.20
  350.16,   107.67,   473.07
  347.94,   228.77,   220.86
  348.66,   230.46,   345.78
  348.77,   232.27,   471.00
  347.01,   353.90,   220.09
  347.16,   355.76,   343.28
  347.41,   357.60,   467.99
  100.42,   101.08,   350.06
  103.91,    99.88,   475.42
  107.58,    97.37,   599.69
  100.15,   225.96,   351.52
  104.31,   225.24,   476.51
  107.76,   223.01,   601.03
  100.27,   351.09,   351.76
  103.74,   349.34,   477.06
  107.20,   347.14,   602.19
  226.00,   101.63,   346.36
  229.63,   100.77,   471.58
  232.59,    98.39,   596.03
  225.32,   226.43,   347.67
  229.66,   226.27,   472.92
  232.59,   224.08,   597.64
  225.01,   351.27,   347.68
  228.32,   349.44,   472.74
  231.54,   347.76,   598.00
  350.84,   100.72,   342.16
  354.39,   100.06,   466.48
  357.01,    99.32,   591.22
  350.02,   225.79,   342.48
  353.52,   224.81,   467.71
  355.95,   224.07,   593.52
  349.53,   351.43,   343.30
  352.69,   349.75,   468.13
  355.54,   348.34,   593.84
   98.47,   101.72,   477.26
  100.81,    97.88,   601.39
  102.94,    94.16,   725.88
   95.77,   227.21,   479.69
   97.99,   223.40,   604.47
   99.61,   218.18,   728.72
   92.17,   351.23,   481.90
   94.78,   347.37,   606.95
   96.70,   343.74,   731.80
  223.94,   105.96,   474.84
  225.85,   102.14,   599.61
  227.23,    97.42,   723.30
  220.98,   231.04,   478.00
  222.87,   227.71,   602.69
  223.47,   222.78,   727.08
  216.88,   354.39,   478.74
  219.02,   351.01,   604.47
  220.96,   347.61,   730.19
  348.59,   108.26,   470.93
  350.31,   105.62,   595.72
  352.05,   102.78,   720.75
  344.95,   232.80,   473.66
  346.59,   230.50,   599.48
  348.14,   228.43,   724.78
  341.14,   357.58,   475.52
  342.91,   354.52,   601.22
  344.74,   351.43,   727.39
  101.66,    99.91,   601.23
  103.66,    96.51,   725.86
  105.90,    94.32,   849.99
   99.89,   225.53,   604.01
  101.63,   220.50,   728.34
  103.12,   217.40,   853.36
   97.61,   349.74,   606.21
   99.90,   346.28,   731.15
  101.75,   343.81,   855.89
  226.74,   103.08,   598.99
  228.32,    98.81,   723.00
  229.93,    95.66,   848.36
  224.77,   228.27,   601.86
  225.65,   224.20,   726.33
  226.83,   220.09,   851.67
  222.09,   351.95,   603.62
  223.99,   348.91,   728.97
  226.59,   346.58,   853.57
  351.27,   105.78,   595.42
  352.75,   102.63,   720.40
  355.07,    99.37,   846.48
  348.17,   230.43,   598.66
  350.14,   228.85,   724.26
  352.49,   225.91,   849.15
  345.97,   354.66,   600.40
  347.93,   351.50,   726.16
  351.14,   348.54,   850.74
   97.71,   225.75,   101.26
   98.24,   226.75,   227.23
  100.08,   229.22,   352.96
   99.82,   351.65,    99.94
   99.99,   352.83,   225.59
  100.78,   354.27,   350.97
  100.47,   477.57,    98.86
  101.26,   478.62,   223.88
  101.53,   479.14,   349.24
  222.52,   225.41,   100.90
  223.22,   226.29,   226.52
  225.19,   229.25,   352.00
  224.76,   351.41,   100.16
  225.13,   352.53,   225.03
  225.46,   353.67,   349.22
  225.77,   477.10,    98.72
  225.91,   478.24,   223.16
  226.07,   478.73,   347.17
  347.48,   225.85,   100.10
  348.97,   226.76,   224.69
